Datetime,Concentration
2021-07-19,28.695652173913043
2021-07-20,30.304347826086957
2021-07-21,20.708333333333332
2021-07-22,20.82608695652174
2021-07-23,33.52173913043478
2021-07-24,30.08695652173913
2021-07-25,38.208333333333336
2021-07-26,32.333333333333336
2021-07-27,25.043478260869566
2021-07-28,24.608695652173914
2021-07-29,29.454545454545453
2021-07-30,21.727272727272727
2021-07-31,22.0
2021-08-01,23.791666666666668
2021-08-02,24.17391304347826
2021-08-03,27.782608695652176
2021-08-04,32.0
2021-08-05,37.5
2021-08-06,42.21739130434783
2021-08-07,40.56521739130435
2021-08-08,39.041666666666664
2021-08-09,35.47826086956522
2021-08-10,34.17391304347826
2021-08-11,38.875
2021-08-12,35.125
2021-08-13,32.333333333333336
2021-08-14,29.375
2021-08-15,24.625
2021-08-16,23.875
