Datetime,DPBI
2021-07-04,-0.8072240632076151
2021-07-05,0.5804426194568719
2021-07-06,0.6041818754264143
2021-07-07,-0.9122092673200276
2021-07-08,-0.8875276128779743
2021-07-09,-1.3295765893918792
2021-07-10,-0.47519047937346626
2021-07-11,-0.8670358382602086
2021-07-12,-0.7235394206712772
2021-07-13,-0.5989627157952121
2021-07-14,-0.0738105019253756
2021-07-15,0.4123767991477992
2021-07-16,-0.5275724064362943
2021-07-17,-0.895217487109281
2021-07-18,-0.4363117876918928
2021-07-19,1.028528803394378
2021-07-20,0.964159835774857
2021-07-21,-0.9945028249475917
2021-07-22,-0.5459459260677301
2021-07-23,0.07022743616245547
2021-07-24,-0.006863178047178731
2021-07-25,0.8225496575357412
2021-07-26,0.7704751882318011
2021-07-27,-0.01830002430474395
