Datetime,SO2,NO2,O3,PM25
2021-03-18,0.05652173913043478,7.286363636363637,32.25,8.708333333333334
2021-03-19,0.18695652173913044,13.778260869565216,29.833333333333332,6.833333333333333
2021-03-20,0.3666666666666667,17.275000000000002,26.833333333333332,9.333333333333334
2021-03-21,1.0458333333333334,24.054166666666664,23.5,13.0
2021-03-22,0.9083333333333333,24.53333333333333,28.5,10.666666666666666
2021-03-23,0.5869565217391305,20.808695652173913,34.541666666666664,11.75
2021-03-24,0.3347826086956522,11.804347826086957,30.0,7.083333333333333
2021-03-25,0.43333333333333335,13.252173913043478,25.0,7.666666666666667
2021-03-26,0.0,5.7250000000000005,24.666666666666668,4.0
2021-03-27,0.02916666666666667,6.841666666666666,23.458333333333332,11.583333333333334
2021-03-28,0.004166666666666667,6.586956521739131,25.416666666666668,3.9583333333333335
