Datetime,Concentration
2021-04-13,10.666666666666666
2021-04-14,8.708333333333334
2021-04-15,5.0
2021-04-16,3.5416666666666665
2021-04-17,3.5
2021-04-18,7.541666666666667
2021-04-19,9.0
2021-04-20,4.833333333333333
2021-04-21,4.708333333333333
2021-04-22,4.458333333333333
2021-04-23,8.833333333333334
2021-04-24,19.041666666666668
2021-04-25,6.625
2021-04-26,4.304347826086956
2021-04-27,6.75
2021-04-28,5.875
2021-04-29,5.75
2021-04-30,2.6666666666666665
2021-05-01,7.125
2021-05-02,3.7916666666666665
2021-05-03,3.0
2021-05-04,5.458333333333333
2021-05-05,2.9166666666666665
2021-05-06,6.208333333333333
2021-05-07,5.291666666666667
2021-05-08,4.166666666666667
2021-05-09,3.75
2021-05-10,3.4166666666666665
2021-05-11,3.125
2021-05-12,4.708333333333333
2021-05-13,4.625
2021-05-14,7.416666666666667
2021-05-15,13.75
2021-05-16,12.5
2021-05-17,11.583333333333334
2021-05-18,11.0
2021-05-19,10.166666666666666
2021-05-20,11.666666666666666
2021-05-21,12.958333333333334
2021-05-22,8.458333333333334
2021-05-23,6.375
2021-05-24,9.25
2021-05-25,14.916666666666666
2021-05-26,7.5
2021-05-27,
2021-05-28,6.782608695652174
2021-05-29,9.25
2021-05-30,6.0
2021-05-31,10.583333333333334
2021-06-01,8.041666666666666
2021-06-02,8.541666666666666
2021-06-03,7.708333333333333
2021-06-04,9.791666666666666
2021-06-05,8.625
2021-06-06,
2021-06-07,14.916666666666666
2021-06-08,7.75
2021-06-09,10.833333333333334
2021-06-10,6.458333333333333
2021-06-11,7.291666666666667
2021-06-12,4.421052631578948
2021-06-13,6.916666666666667
2021-06-14,2.2916666666666665
2021-06-15,4.916666666666667
2021-06-16,2.9583333333333335
2021-06-17,5.708333333333333
2021-06-18,6.958333333333333
2021-06-19,5.666666666666667
2021-06-20,4.958333333333333
2021-06-21,6.458333333333333
2021-06-22,3.0
2021-06-23,4.708333333333333
2021-06-24,6.666666666666667
2021-06-25,7.541666666666667
2021-06-26,6.0
2021-06-27,8.75
2021-06-28,5.0
2021-06-29,4.791666666666667
2021-06-30,4.916666666666667
2021-07-01,5.416666666666667
2021-07-02,4.375
2021-07-03,5.083333333333333
2021-07-04,5.666666666666667
2021-07-05,10.958333333333334
2021-07-06,18.375
2021-07-07,9.166666666666666
2021-07-08,4.791666666666667
2021-07-09,2.8333333333333335
