Toronto North, (34021) Hourly, Sulphur dioxide (SO2) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto North (34021),,,,,,,,,,,,,,,,,,,,,,,,,
Address,4905 Dufferin St., Eccc,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.78047,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.467372,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 186 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,4 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Sulphur Dioxide (sulphur dioxide SO2),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Sulphur Dioxide,2/23/2021,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0
34021,Sulphur Dioxide,2/24/2021,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.5,0.5,1.1,1.1,0.6,0.6,0.4,0.1,0.1,0.1,0.1,0,0.1
34021,Sulphur Dioxide,2/25/2021,0.1,9999,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3
34021,Sulphur Dioxide,2/26/2021,0.3,9999,0.1,0.1,0.1,0.1,0.1,0.2,0.6,0.7,0.7,2.3,0.8,0.4,0.6,0.8,0.4,0.3,0.1,0,0,0,0,0
34021,Sulphur Dioxide,2/27/2021,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0,0,0,0,0,0
34021,Sulphur Dioxide,2/28/2021,0,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34021,Sulphur Dioxide,3/1/2021,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0
34021,Sulphur Dioxide,3/2/2021,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,1.1,0.7,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2
34021,Sulphur Dioxide,3/3/2021,0.2,9999,0.2,0.3,0.2,0.2,0.2,0.2,0.4,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0,0,0,0,0
34021,Sulphur Dioxide,3/4/2021,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0
34021,Sulphur Dioxide,3/5/2021,0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1
34021,Sulphur Dioxide,3/6/2021,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0,0,0
34021,Sulphur Dioxide,3/7/2021,0,9999,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0
34021,Sulphur Dioxide,3/8/2021,0,0,0,0.2,0.2,0.2,0.2,0.2,0.5,2,4.7,4.5,3.9,2.6,2.2,1.9,1.9,1.1,0.9,0.8,0.5,0.3,0.3,0.2
34021,Sulphur Dioxide,3/9/2021,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.2,0.1,0.1,0.2,0.5,0.5,0.2,0.1,0.1,0.1,0.1,0.1
34021,Sulphur Dioxide,3/10/2021,0,9999,0,0,0,0,0,0,0.2,0.4,0.8,0.8,1,1.2,2.2,3,1.9,2.2,2,1.1,1.2,0.4,0.4,1.8
