Toronto North, (34021) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto North (34021),,,,,,,,,,,,,,,,,,,,,,,,,
Address,4905 Dufferin St., Eccc,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.78047,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.467372,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 186 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,4 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Fine Particulate Matter,2/27/2021,5,5,6,7,8,8,11,14,11,5,6,10,18,23,18,14,17,23,24,24,22,26,26,30
34021,Fine Particulate Matter,2/28/2021,30,32,38,33,30,15,16,21,17,15,11,10,9,8,7,5,6,8,9,8,7,7,4,2
34021,Fine Particulate Matter,3/1/2021,7,8,10,6,3,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
34021,Fine Particulate Matter,3/2/2021,1,0,0,0,0,0,0,1,1,2,4,3,3,4,4,4,6,6,6,5,6,7,6,6
34021,Fine Particulate Matter,3/3/2021,6,7,9,9,11,13,14,15,18,19,21,21,20,20,20,18,16,16,14,9,7,5,5,5
34021,Fine Particulate Matter,3/4/2021,4,4,3,3,3,3,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1
34021,Fine Particulate Matter,3/5/2021,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1
34021,Fine Particulate Matter,3/6/2021,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2
34021,Fine Particulate Matter,3/7/2021,1,1,2,2,1,1,2,2,2,2,2,2,2,2,3,3,5,6,5,5,4,6,4,5
34021,Fine Particulate Matter,3/8/2021,4,4,4,11,11,12,16,13,13,16,16,15,15,13,13,16,24,27,25,26,28,27,26,24
34021,Fine Particulate Matter,3/9/2021,20,17,16,16,15,15,15,14,11,8,7,7,7,6,5,6,13,13,14,17,17,14,11,9
34021,Fine Particulate Matter,3/10/2021,10,12,15,17,16,17,16,15,13,16,15,14,14,13,15,17,17,18,18,18,19,21,22,22
34021,Fine Particulate Matter,3/11/2021,21,19,16,14,14,16,12,11,10,8,7,8,8,9,9,9,8,8,7,6,4,4,4,3
34021,Fine Particulate Matter,3/12/2021,3,3,3,2,3,3,3,4,4,4,5,5,7,10,12,11,10,8,7,5,3,2,2,2
34021,Fine Particulate Matter,3/13/2021,2,2,2,2,2,2,1,2,2,3,3,3,3,4,5,5,6,8,9,9,9,9,14,14
34021,Fine Particulate Matter,3/14/2021,9,6,-999,-999,5,5,5,5,3,2,3,3,3,2,2,2,2,2,2,2,2,1,1,2
34021,Fine Particulate Matter,3/15/2021,2,2,2,2,3,3,3,4,4,4,4,5,4,4,6,8,11,12,11,9,8,6,5,4
34021,Fine Particulate Matter,3/16/2021,4,3,3,3,3,3,3,3,3,3,3,3,4,5,4,5,6,7,10,8,8,7,6,6
34021,Fine Particulate Matter,3/17/2021,8,9,9,9,10,11,10,10,16,19,19,21,21,19,20,19,18,21,22,22,38,43,9999,41
34021,Fine Particulate Matter,3/18/2021,43,28,21,17,10,8,7,8,8,7,6,6,5,4,3,3,4,3,3,3,3,3,3,3
34021,Fine Particulate Matter,3/19/2021,3,3,3,3,2,3,3,3,3,4,4,5,5,6,9,9,11,11,12,13,12,13,13,11
34021,Fine Particulate Matter,3/20/2021,7,6,7,8,7,8,9,4,3,3,2,3,3,4,4,4,6,7,13,23,27,28,20,18
34021,Fine Particulate Matter,3/21/2021,16,15,16,17,16,16,17,18,18,15,11,10,8,8,8,7,7,14,19,12,12,11,11,10
34021,Fine Particulate Matter,3/22/2021,9,9,9,7,6,6,7,7,8,8,9,12,13,11,10,8,10,12,13,17,18,17,16,14
34021,Fine Particulate Matter,3/23/2021,15,12,12,11,10,11,12,14,12,8,12,13,12,13,11,10,14,13,12,11,12,11,11,10
34021,Fine Particulate Matter,3/24/2021,9,9,9,8,7,7,6,5,4,4,5,6,6,7,8,8,11,10,8,6,6,7,7,7
34021,Fine Particulate Matter,3/25/2021,13,17,17,17,15,15,10,3,2,4,5,6,6,6,5,5,7,6,6,5,4,4,3,3
34021,Fine Particulate Matter,3/26/2021,2,3,3,2,2,2,2,2,3,4,5,4,3,2,1,2,3,5,7,8,8,7,8,8
34021,Fine Particulate Matter,3/27/2021,8,10,12,13,13,13,12,12,12,14,17,23,17,15,15,12,9,9,11,12,7,5,4,3
34021,Fine Particulate Matter,3/28/2021,3,3,4,4,4,5,5,5,5,5,6,9,9,5,4,5,3,3,2,2,1,1,1,1
34021,Fine Particulate Matter,3/29/2021,1,2,2,2,2,2,3,3,3,3,4,5,5,6,7,7,10,11,11,11,9,7,6,5
34021,Fine Particulate Matter,3/30/2021,7,8,7,7,7,8,9,9,5,5,5,6,6,7,7,7,9,10,10,11,11,11,10,9
34021,Fine Particulate Matter,3/31/2021,8,7,7,7,8,7,7,8,8,7,4,6,5,4,4,4,4,5,6,5,4,3,2,2
34021,Fine Particulate Matter,4/1/2021,2,2,2,2,2,2,3,3,3,5,7,7,7,7,7,7,6,6,5,5,5,4,3,3
